Year	Month	Day
1960	9   	22  
2014	2   	5   
1992	11  	6   
2002	9   	24  
2014	1   	29  
1994	2   	7   
1993	7   	30  
1988	11  	7   
1986	9   	9   
2008	11  	16  
2006	3   	25  
1976	7   	11  
2005	3   	7   
1970	6   	26  
2010	3   	30  
1980	10  	15  
1977	7   	16  
2006	2   	17  
1998	12  	27  
1996	2   	5   
1973	7   	3   
2002	7   	8   
1962	11  	9   
1973	10  	24  
1988	1   	19  
1983	10  	20  
1964	12  	5   
1985	4   	30  
1961	10  	3   
2011	11  	27  
1991	9   	13  
1984	7   	25  
2014	2   	8   
2005	3   	16  
2008	6   	10  
2011	8   	19  
2014	8   	13  
1980	6   	21  
2006	10  	1   
2011	12  	10  
1976	4   	17  
1980	5   	15  
2015	8   	6   
2008	3   	23  
1972	12  	21  
2009	5   	20  
2021	4   	2   
1999	6   	14  
2013	11  	10  
1960	12  	14  
1964	7   	23  
2003	6   	8   
1983	10  	14  
1992	5   	14  
1984	6   	24  
2002	5   	6   
1990	2   	23  
1987	8   	17  
2003	3   	29  
2003	5   	29  
1980	10  	4   
1986	4   	11  
1971	11  	1   
2001	1   	14  
1981	1   	25  
2014	7   	2   
2007	5   	22  
1961	11  	27  
2004	9   	21  
1988	1   	14  
2020	7   	18  
1971	3   	2   
1982	12  	9   
1962	4   	4   
1977	7   	7   
1964	6   	28  
2004	9   	2   
1972	1   	18  
1964	2   	27  
2003	10  	17  
1965	7   	12  
1995	9   	5   
1995	3   	21  
1999	11  	22  
2019	6   	11  
2020	4   	18  
1964	8   	7   
1972	11  	5   
1995	12  	18  
1985	4   	20  
1967	6   	8   
1964	4   	21  
1981	3   	1   
1982	3   	9   
1979	2   	2   
1961	3   	19  
1966	8   	11  
1985	7   	4   
1967	2   	11  
2006	6   	30  
